Country,pop_est,gdp_md_est,Longitude,Latitude
Afghanistan,28400000,22270,66.00473366,33.83523073
Albania,3639453,21810,20.04983396,41.14244989
Algeria,34178188,232900,2.61732301,28.15893849
Andorra,83888,3660,1.56054378,42.54229102
Angola,12799293,110300,17.53736768,-12.29336054
Antarctica,3802,760.4,19.92108951,-80.50857913
Antigua and Barbuda,85632,1657,-61.79469343,17.2774996
Argentina,40913584,573900,-65.17980692,-35.3813488
Armenia,2967004,18770,44.92993276,40.28952569
Ashmore and Cartier Islands,-99,-99,123.5838379,-12.42993164
Australia,21262641,800200,134.4910001,-25.73288704
Heard Island and McDonald Islands,-99,-99,73.5205171,-53.08724656
Indian Ocean Territories,2069,31.035,104.851898,-10.6478515
Norfolk Island,2141,32.115,167.9492168,-29.0514609
Austria,8210281,329500,14.1264761,47.58549439
Azerbaijan,8238672,77610,47.54599879,40.28827235
Bahrain,727785,26820,50.54196932,26.04205135
Bangladesh,156050883,224000,90.23812743,23.86731158
Barbados,284589,5425,-59.559797,13.18145428
Belarus,9648533,114100,28.03209307,53.53131377
Belgium,10414336,389300,4.64065114,50.63981576
Belize,307899,2536,-88.71010486,17.20027509
Benin,8791832,12830,2.32785254,9.6417597
Bhutan,691141,3524,90.40188155,27.41106589
Bolivia,9775246,43270,-64.68538645,-16.70814787
Bosnia and Herzegovina,4613414,29700,17.76876733,44.17450125
Botswana,1990876,27060,23.79853368,-22.18403213
Brazil,198739269,1993000,-53.09783113,-10.78777702
Brunei,388190,20250,114.7220304,4.51968958
Bulgaria,7204687,93750,25.21552909,42.76890318
Burkina Faso,15746232,17820,-1.75456601,12.26953846
Burundi,8988091,3102,29.87512156,-3.35939666
Cambodia,14494293,27940,104.9069433,12.72004786
Cameroon,18879301,42750,12.73964156,5.69109849
Canada,33487208,1300000,-98.30777028,61.36206324
Cape Verde,429474,1626,-23.9598882,15.95523324
Central African Republic,4511488,3198,20.46826831,6.56823297
Chad,10329208,15860,18.64492513,15.33333758
Chile,16601707,244500,-71.38256213,-37.73070989
China,1338612970,7973000,103.8190735,36.56176546
