latitude,longitude,title,reference_url,thumbnail_url
34.01754,-118.278122,"Meeting of the minds, Los Angeles, 2000",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/775,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/775
34.106612,-117.295468,"Will Rogers monument, San Bernardino, 1998-1999",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1531,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1531
34.104129,-117.706361,"Don Bosco Technical Institute, Rosemead, 1967",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1535,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1535
34.103428,-117.711425,"The flower vendors, Claremont, 1946, detail 1 of 2",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1513,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1513
34.103428,-117.711425,"Two flower vendors, Claremont, ca. 1946",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1514,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1514
34.103428,-117.711425,"The flower vendors, Claremont, 1946, detail 2 of 2",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1533,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1533
34.103428,-117.711425,"The flower vendors, Claremont, 1946",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1534,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1534
34.103428,-117.711425,"The flower vendors, Claremont, 1946",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/2005,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/2005
34.09967,-117.712605,"Prometheus, Claremont, 1930",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1537,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1537
34.09967,-117.712605,"Prometheus, Claremont, 1930, detail",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1538,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1538
34.09967,-117.712605,"Prometheus, Claremont, 1930",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/2007,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/2007
34.099625,-117.712637,"Genesis, Claremont, 1960",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1516,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1516
34.103396,-117.712777,"Three episodes of Shakespeare, Claremont, 1966",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1517,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1517
34.095956,-117.716446,"Claremont community mural, Claremont, 2000",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/2056,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/2056
34.107425,-117.719471,"Indians and yuccas near Indian Hill, Claremont, 1969",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1519,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1519
34.090385,-117.734717,"Fundraising mural, Pomona, 1995",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1530,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1530
34.090385,-117.734717,"Interhueman, Claremont, 1997",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1532,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1532
34.121966,-117.737968,"Image of a peccary, Claremont, 1965",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1520,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1520
34.048161,-117.73962,"Reaching for the stars, Pomona, 2000, detail 1 of 3",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1521,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1521
34.048161,-117.73962,"Reaching for the stars, Pomona, 2000, detail 2 of 3",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1522,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1522
34.048161,-117.73962,"Reaching for the stars, Pomona, 2000, detail 3 of 3",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1525,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1525
34.048161,-117.73962,"Reaching for the stars, Pomona, 2000",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/2036,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/2036
34.15175,-117.743998,"Development overtaking animal habitat, La Verne, 1991",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1515,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1515
34.060864,-117.750376,"Early California history, Pomona, 1956",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1518,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1518
34.111236,-117.764361,"Old La Verne landscape, La Verne, 1984",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1529,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1529
34.114851,-117.766947,"Citrus country, La Verne, 1995",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1528,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1528
34.049655,-117.782621,"Using your imagination, Pomona, 1999",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/2037,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/2037
34.136051,-117.797127,"Our community, past, present and future, San Dimas, 1994, panel 1 of 3",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1545,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1545
34.136051,-117.797127,"Our community, past, present and future, San Dimas, 1994, panel 2 of 3",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1546,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1546
34.136051,-117.797127,"Our community, past, present and future, San Dimas, 1994, panel 3 of 3",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1548,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1548
34.136051,-117.797127,"Our community, past, present and future, San Dimas, 1994",http://cdm15799.contentdm.oclc.org/cdm/ref/collection/p15799coll15/id/1550,http://digitallibrary.usc.edu/utils/getthumbnail/collection/p15799coll15/id/1550
