Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo, Dem. Rep.",COD,0.152228016,0.150781838,0.135559207,0.139446343,0.116926926,0.142289847,0.134673911,0.12470329,0.178174619,0.187685845,0.135604174,0.144083172,0.143059328,0.14725181,0.151241021,0.141373569,0.144902791,0.143812046,0.141793573,0.146316541,0.132857742,0.139680659,0.110867473,0.141754229,0.136128829,0.121860148,0.110067834,0.122238342,0.123876807,0.131274372,0.124062584,0.087926522,0.07572892,0.068964382,0.042634265,0.051155667,0.054631188,0.043089813,0.037201477,0.029067928,0.019305807,0.016279758,0.017573365,0.020821622,0.022457135,0.02737571,0.028452967,0.030049313,0.03077524,0.028009591,0.031294864,0.03735382,0.034852593,0.050309039,0.063330889,0.037225719,0.025644617
Somalia,SOM,0.030602996,0.031273742,0.036998933,0.034965709,0.045208883,0.043022247,0.04432621,0.070435316,0.046491396,0.047641123,0.062809908,0.05385865,0.06744315,0.075164343,0.090842529,0.12946938,0.112264555,0.166468665,0.103699021,0.082764513,0.129606214,0.042239322,0.108766225,0.141281645,0.108102163,0.129060932,0.137170635,0.144814553,0.143953079,0.134172492,0.101507358,0.097295584,0.093492269,0.0877169,0.085549761,0.078806141,0.073982589,0.067923434,0.062340742,0.057446916,0.054143738,0.05468532,0.061751277,0.060522574,0.058641634,0.056864343,0.05518945,0.054938209,0.052766349,0.051010131,0.050846475,0.049480774,0.047872402,0.048280633,0.046986287,0.04571391,0.045496236
Burundi,BDI,,,0.015135584,0.016081017,0.015752291,0.01185052,0.015035846,0.014653491,0.016483729,0.021482736,0.017918274,0.020776222,0.02054534,0.020343256,0.025141021,0.020807754,0.023338905,0.025686967,0.025998755,0.027154689,0.035282532,0.036957755,0.036002497,0.045658809,0.04761201,0.048627431,0.048025444,0.04960198,0.043986706,0.05044046,0.038429978,0.042831657,0.038053034,0.039212129,0.039784593,0.039811807,0.039936892,0.040730269,0.040312586,0.040373064,0.04254013,0.031468942,0.031724704,0.023352787,0.027765918,0.020912001,0.024582112,0.023786811,0.023465617,0.02270678,0.035505087,0.047483001,0.042040072,0.04304943,0.039112493,0.039701654,0.047201096
Central African Republic,CAF,0.058606829,0.057669852,0.047257895,0.046436237,0.045591987,0.053673037,0.050412458,0.053664399,0.105120187,0.105133004,0.115407168,0.099618694,0.090311396,0.085150669,0.059071767,0.052429397,0.064268453,0.062916714,0.070260382,0.047962025,0.048351881,0.059917189,0.061238804,0.060905603,0.060663368,0.063468636,0.06211041,0.09836522,0.085754757,0.090815789,0.070551039,0.071339711,0.0731111,0.073432718,0.074860248,0.072824403,0.07094059,0.07242259,0.071746964,0.074205442,0.073532858,0.066009622,0.064618813,0.060468193,0.059266517,0.058114364,0.060551681,0.060272129,0.059209298,0.058332152,0.060186452,0.063071953,0.066125464,0.064305245,0.064892841,0.065290207,0.065457798
Chad,TCD,0.018325172,0.016775107,0.027021667,0.02879627,0.030496935,0.032131813,0.025010757,0.034163021,0.03562878,0.045215808,0.034218318,0.040348732,0.031717629,0.041287764,0.037587492,0.044844596,0.043935794,0.046535008,0.044809306,0.04560177,0.046300197,0.045312344,0.043523728,0.042495521,0.043641043,0.03526376,0.035640731,0.036582966,0.011808661,0.01778272,0.063338091,0.062535335,0.064032269,0.061452589,0.060025633,0.060156388,0.060181286,0.060110804,0.059464498,0.059192633,0.05836898,0.057890764,0.056514007,0.079411955,0.076844983,0.07590679,0.075744727,0.07898032,0.082956472,0.081523098,0.083451527,0.066451641,0.071993351,0.072949324,0.073267221,0.070944141,0.069755686
Malawi,MWI,,,,,0.081845148,0.084258887,0.101178206,0.084290092,0.087066571,0.08322818,0.096668596,0.104031816,0.110190098,0.11231322,0.105070168,0.107596668,0.10513698,0.111588535,0.113799621,0.105021566,0.113815667,0.094357262,0.090474468,0.085444567,0.080030934,0.076687331,0.072226554,0.06711377,0.062838425,0.062223957,0.079543623,0.082886414,0.08215375,0.091766285,0.094067224,0.093496363,0.091100691,0.093953223,0.088614011,0.086486471,0.078939735,0.070889346,0.073254449,0.07670026,0.075117556,0.073189253,0.072358084,0.074209594,0.081204613,0.079423109,0.072131361,0.078182345,0.075502639,0.07501028,0.064607656,0.068761849,0.075448776
Rwanda,RWA,0.036225525,0.046474615,0.027626193,0.027159298,0.011588797,0.014733594,0.013247517,0.011791359,0.015582846,0.01610436,0.015615228,0.016102281,0.016554375,0.016966901,0.017331596,0.040327115,0.059406242,0.057501391,0.060191295,0.059658148,0.096063464,0.112846606,0.110579377,0.122427069,0.107472111,0.100222373,0.092759792,0.090863945,0.098294473,0.094736488,0.072445678,0.067294519,0.072221184,0.077862376,0.077833842,0.077907717,0.078058814,0.075968617,0.07004522,0.067950553,0.066557755,0.064597852,0.063096145,0.060851257,0.060831351,0.059732484,0.058390835,0.060103365,0.056980845,0.058850305,0.058807364,0.064481265,0.070213897,0.07563592,0.07642592,0.084505937,0.095533926
Niger,NER,0.008656844,0.015777354,0.018395152,0.023824709,0.025071506,0.02342163,0.033684272,0.031851627,0.037840235,0.043476328,0.047964991,0.049810608,0.053064378,0.067323508,0.05746967,0.064358881,0.062547645,0.066780146,0.073954314,0.08255655,0.095517051,0.111252729,0.117926269,0.147721555,0.147895714,0.144219843,0.12671679,0.136594186,0.131164972,0.133855425,0.075381317,0.069015598,0.06206715,0.06828842,0.063594367,0.059504833,0.065678071,0.063769521,0.06641531,0.062738714,0.061485813,0.055856745,0.057456766,0.060015019,0.062020357,0.052483888,0.049000595,0.049191649,0.053138279,0.061104581,0.071272972,0.077776196,0.099118183,0.102454219,0.106730938,0.10138412,0.097016004
Uganda,UGA,0.062316991,0.058282876,0.059458305,0.057990783,0.063657388,0.078518885,0.088752395,0.094779534,0.111156995,0.128957651,0.153610402,0.149002467,0.139225547,0.115916087,0.114363127,0.10552859,0.089657913,0.07096203,0.05979895,0.05589594,0.050397056,0.04117307,0.041323807,0.045169605,0.04140156,0.042565278,0.046718639,0.049323137,0.053486117,0.047907355,0.044161904,0.043913646,0.043462675,0.042070323,0.036126179,0.046167246,0.050560503,0.051477604,0.057084095,0.057675294,0.060780277,0.061946205,0.061924706,0.062667953,0.064805143,0.078414179,0.088814596,0.097997791,0.104834308,0.107636295,0.120883274,0.127392876,0.118310285,0.123482382,0.129345873,0.139771241,0.143267095
Ethiopia,ETH,0.015892176,0.015042483,0.017054794,0.017719866,0.016683881,0.025801617,0.032177902,0.040883775,0.064100802,0.060337126,0.058202095,0.063313536,0.046718329,0.056475983,0.054553806,0.037157719,0.035531928,0.03123431,0.040344949,0.053589039,0.051861418,0.051869598,0.040044819,0.048357936,0.042281792,0.044651154,0.052778063,0.059580287,0.05972766,0.061100422,0.063020997,0.060168109,0.057689541,0.056832908,0.040603416,0.044931236,0.048574873,0.050264786,0.05150765,0.049069617,0.053600098,0.063861001,0.064460739,0.069101838,0.071325206,0.067051465,0.07012642,0.074681496,0.079959443,0.078301462,0.074478123,0.079165607,0.091865839,0.109142185,0.126763767,0.136045864,0.143524928
Sierra Leone,SLE,0.308532056,0.123149786,0.136623926,0.152611794,0.123389578,0.112573503,0.11784629,0.097436273,0.145624844,0.411173751,0.31795288,0.28694255,0.237627116,0.185027583,0.175082647,0.172655387,0.145375544,0.161923578,0.219510442,0.204736436,0.179643765,0.200069802,0.15640972,0.190448933,0.166164353,0.174421223,0.172270172,0.123500301,0.110275526,0.087916071,0.112902285,0.125643991,0.103741866,0.105038696,0.12337419,0.098832772,0.117339483,0.110805916,0.102105611,0.089571749,0.092783381,0.119557508,0.122583706,0.125498407,0.118094601,0.096779913,0.125814065,0.107139285,0.108211601,0.104057657,0.113171356,0.136885898,0.153506825,0.1736274,0.186560088,0.148788315,0.149104947
Madagascar,MDG,0.078382774,0.068095026,0.073990804,0.084217123,0.086049758,0.096613441,0.09789249,0.138866616,0.146457314,0.132888863,0.147766109,0.151935897,0.185286801,0.150425187,0.16174021,0.224212304,0.127839907,0.105908931,0.123863791,0.133783575,0.185525976,0.114448837,0.110000521,0.068677052,0.088854961,0.104943263,0.110164585,0.120881549,0.11785404,0.082655628,0.080620277,0.085051863,0.080188282,0.07984657,0.09569838,0.095788177,0.096800633,0.113476761,0.115887651,0.119253819,0.118846962,0.107117169,0.073711326,0.098470636,0.101546442,0.094991068,0.089148783,0.093403772,0.094441905,0.08610778,0.09257807,0.110462134,0.123892669,0.138143811,0.139903171,0.150407888,0.156876974
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13161632,0.139880248,0.145569875,0.181371037,0.159441965
Guinea-Bissau,GNB,0.02975804,0.047106354,0.064140707,0.07507114,0.091416178,0.101580511,0.100161762,0.071231866,0.091616796,0.084736289,0.098835502,0.102093089,0.090107751,0.147432298,0.135514746,0.148405525,0.123753117,0.133045325,0.132975541,0.14199859,0.187647839,0.180161148,0.176471024,0.172261858,0.189536649,0.197610997,0.20542911,0.212928127,0.23187842,0.242213695,0.176720898,0.176453251,0.176099378,0.175719722,0.171942315,0.168388048,0.165056314,0.178086728,0.149301221,0.165105668,0.122100956,0.122521608,0.122773831,0.151445681,0.153548708,0.158139085,0.157052834,0.163665577,0.15712789,0.158153972,0.156544829,0.157191765,0.157648792,0.155734209,0.160335469,0.160425788,0.164583657
