Geo_FIPS,Area Name,Qualifying Name,Geo_STATE,Geo_COUNTY,Geo_GEOID,GEO_ID,Total Population,% Total Population: Under 18 Years,% Total Population: 18 to 34 Years,% Total Population: 35 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,% Total Population: Not Hispanic or Latino: Asian Alone,% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Not Hispanic or Latino: Some Other Race Alone,% Total Population: Not Hispanic or Latino: Two or More Races,% Total Population: Hispanic or Latino,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better,Total Employed Civilian Population 16 Years and Over,"% Employed Civilian Population 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining",% Employed Civilian Population 16 Years and Over: Construction,% Employed Civilian Population 16 Years and Over: Manufacturing,% Employed Civilian Population 16 Years and Over: Wholesale Trade,% Employed Civilian Population 16 Years and Over: Retail Trade,"% Employed Civilian Population 16 Years and Over: Transportation and Warehousing, and Utilities",% Employed Civilian Population 16 Years and Over: Information,"% Employed Civilian Population 16 Years and Over: Finance and Insurance, and Real Estate and Rental  and Leasing","% Employed Civilian Population 16 Years and Over: Professional, Scientific, and Management, and  Administrative and Waste Management Services","% Employed Civilian Population 16 Years and Over: Educational Services, and Health Care and Social  Assistance","% Employed Civilian Population 16 Years and Over: Arts, Entertainment, and Recreation, and  Accommodation and Food Services","% Employed Civilian Population 16 Years and Over: Other Services, Except Public Administration",% Employed Civilian Population 16 Years and Over: Public Administration,"% Households: Less than $25,000","% Households: $25,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 or More",Median Household Income (In 2019 Inflation Adjusted Dollars)
01001,Autauga County,"Autauga County, Alabama",01,001,05000US01001,0500000US01001,55380,23.84,21.42,39.78,14.96,97.17,74.6,19,0.25,1.03,0.01,0.15,2.12,2.83,11.48,61.95,26.57,24522,0.87,6.07,12.95,2.5,9.94,6.8,1.36,5.98,9.63,20.23,8.78,5.44,9.44,22.47,20.59,17.84,13.7,25.41,58731
01003,Baldwin County,"Baldwin County, Alabama",01,003,05000US01003,0500000US01003,212830,21.72,18.52,39.77,19.98,95.44,83.07,9.17,0.65,0.92,0,0.16,1.45,4.56,9.19,58.94,31.86,95091,1.21,8.59,9.25,2.84,13.64,5,1.53,7.52,10.26,20.25,9.97,4.72,5.22,18.34,24.28,18.45,12.82,26.12,58320
01005,Barbour County,"Barbour County, Alabama",01,005,05000US01005,0500000US01005,25361,20.93,22.6,37.9,18.57,95.64,45.81,47.44,0.29,0.48,0,0.42,1.2,4.36,26.79,61.63,11.58,8413,5.72,6.81,23.05,1.84,10.97,6.63,0.61,3.72,6.1,18.27,6.09,3.19,7.01,40.96,25.93,13.26,8.23,11.62,32525
01007,Bibb County,"Bibb County, Alabama",01,007,05000US01007,0500000US01007,22493,20.59,22.1,41.38,15.93,97.43,74.53,22.14,0.13,0.12,0,0,0.5,2.57,20.94,68.68,10.38,8387,3.86,9.85,16.9,1.23,11.67,5.72,1.26,5.34,5.29,21.26,4.67,7.8,5.14,29.33,23.67,15.96,16.24,14.8,47542
01009,Blount County,"Blount County, Alabama",01,009,05000US01009,0500000US01009,57681,23.21,19.66,39.23,17.9,90.74,86.89,1.53,0.07,0.37,0.04,0.37,1.47,9.26,19.51,67.4,13.09,21917,2.08,9.72,17.16,3.52,11.3,6.88,0.86,6.06,7.06,21.2,4.56,5.06,4.54,24.22,26.48,19.43,11.98,17.89,49358
01011,Bullock County,"Bullock County, Alabama",01,011,05000US01011,0500000US01011,10248,20.77,22.35,40.89,16,97.44,21.38,74.8,0,0.49,0,0.01,0.76,2.56,25.32,62.62,12.05,4319,4.91,5.14,36.26,0.51,5.05,5.56,0.46,3.06,2.82,15.49,7.57,2.69,10.49,35.79,24.54,19.8,7.02,12.87,37785
01013,Butler County,"Butler County, Alabama",01,013,05000US01013,0500000US01013,19828,22.47,19.63,38.23,19.67,98.6,51.6,45.03,0.06,0.35,0,0,1.57,1.4,14.95,68.91,16.14,7930,2.57,3.95,25.02,1.4,11.26,4.94,1.34,3.4,6.19,20.39,10.4,4.2,4.93,30.86,28.64,14.74,12.62,13.14,40688
01015,Calhoun County,"Calhoun County, Alabama",01,015,05000US01015,0500000US01015,114618,21.77,22.41,38.6,17.22,96.2,72.07,20.66,0.19,0.88,0.01,0.16,2.22,3.8,15.57,65.95,18.48,47896,1.41,5.69,17.74,2.42,12.89,4.52,1.45,4.29,7.31,21.66,8.44,5.02,7.17,26.87,25.09,18.83,11.64,17.57,47255
01017,Chambers County,"Chambers County, Alabama",01,017,05000US01017,0500000US01017,33660,20.99,20.6,39.19,19.22,97.62,55.55,39.56,0.33,1.12,0,0.05,1.02,2.38,18.38,68.33,13.3,14877,1.44,4.29,31.44,2.06,9.41,3.7,1.96,3.4,9.48,18.24,5.72,4.07,4.77,29.96,26.28,18.19,13.88,11.69,42289
01019,Cherokee County,"Cherokee County, Alabama",01,019,05000US01019,0500000US01019,25903,20.25,16.52,40.8,22.43,98.41,91.72,4.6,1.08,0.25,0,0,0.76,1.59,18.43,68.82,12.75,9980,3.44,7.58,24.32,1.4,9.67,6.81,0.92,2.89,4.24,23.83,6.94,2.99,4.98,30.49,24.76,19.26,11.63,13.86,41919
